AND,1161,3561,2065,4233
AND,140,2908,655,3086
AND,23031,4233,23626,4644
AND,23626,4644,946,3850
AND,615,3371,140,2908
AND,655,3086,1161,3561
AND,946,3850,1158,4725
AND,946,3850,615,3371
ANT,10453,-3106,10945,-3713
ANT,10453,-3106,9486,-3595
APS,14798,-7905,16448,-7873
APS,16338,-7870,16558,-7889
APS,16338,-7870,16718,-7751
APS,16558,-7889,16718,-7751
AQL,18993,1506,19090,1386
AQL,19028,-573,19103,-488
AQL,19090,1386,19771,1061
AQL,19103,-488,19425,311
AQL,19425,311,19771,1061
AQL,19611,-128,19103,-488
AQL,19771,1061,19846,886
AQL,19846,886,19921,640
AQL,19874,100,19611,-128
AQL,19921,640,20188,-81
AQL,20188,-81,19874,100
AQR,20794,-949,21526,-556
AQR,21526,-556,22055,-215
AQR,22055,-215,22361,-138
AQR,22361,-138,22479,-1
AQR,22479,-1,22421,138
AQR,22479,-1,22590,-11
AQR,22479,-1,22876,-758
AQR,22826,-1359,22910,-1581
AQR,22876,-758,22826,-1359
AQR,22910,-1581,23156,-2116
AQR,23156,-2116,23433,-2064
AQR,23238,-605,22876,-758
AQR,23316,-961,23238,-605
AQR,23433,-2064,23766,-1868
AQR,23711,-1454,23316,-961
AQR,23766,-1868,23711,-1454
ARA,16976,-5598,16830,-5903
ARA,16976,-5598,16993,-5316
ARA,17421,-5553,16976,-5598
ARA,17421,-5553,17423,-5638
ARA,17423,-5638,17518,-6068
ARA,17529,-4988,17421,-5553
ARA,18109,-5010,17529,-4988
ARI,1891,1929,1910,2079
ARI,1910,2079,2119,2346
ARI,2119,2346,3193,1973
AUR,4949,3316,5108,4123
AUR,5108,4123,5278,4599
AUR,5278,4599,5991,5428
AUR,5438,2860,4949,3316
AUR,5991,4495,5278,4599
AUR,5991,4495,5994,3721
AUR,5991,5428,5998,4593
AUR,5994,3721,5438,2860
AUR,5998,4593,5991,4495
BOO,13911,1839,13825,1579
BOO,14261,1918,13911,1839
BOO,14261,1918,14529,3036
BOO,14261,1918,14684,1373
BOO,14273,4608,14420,5184
BOO,14529,3036,14534,3830
BOO,14534,3830,14273,4608
BOO,14534,3830,15031,4038
BOO,14750,2706,14261,1918
BOO,15031,4038,15258,3331
BOO,15258,3331,14750,2706
CAE,4513,-4494,4676,-4186
CAE,4676,-4186,4701,-3714
CAE,4701,-3714,5073,-3548
CAM,3840,7133,4899,6635
CAM,4899,6635,5056,6044
CAM,4899,6635,6213,6571
CAM,5056,6044,4954,5375
CAM,6213,6571,6895,6888
CAP,20293,-1249,20349,-1478
CAP,20349,-1478,20768,-2526
CAP,20768,-2526,20863,-2691
CAP,20863,-2691,21118,-2500
CAP,21098,-1723,20301,-1254
CAP,21118,-2500,21444,-2241
CAP,21370,-1683,21098,-1723
CAP,21444,-2241,21618,-1946
CAP,21618,-1946,21783,-1613
CAP,21668,-1666,21370,-1683
CAP,21783,-1613,21668,-1666
CAR,10228,-7003,9219,-6971
CAR,10456,-5763,10533,-6168
CAR,10533,-6168,10716,-6440
CAR,10716,-6440,10228,-7003
CAR,6399,-5270,7946,-5298
CAR,7946,-5298,8374,-5951
CAR,8374,-5951,9183,-5896
CAR,8374,-5951,9368,-5501
CAR,9219,-6971,9785,-6506
CAR,9285,-5928,10456,-5763
CAR,9785,-6506,9285,-5928
CAS,1430,6023,1906,6366
CAS,153,5914,675,5653
CAS,675,5653,944,6071
CAS,944,6071,1430,6023
CEN,11350,-5448,12140,-5071
CEN,11596,-6301,11350,-5448
CEN,12140,-5071,12691,-4896
CEN,12691,-4896,13343,-3671
