N,1,,,*,1,1,PEG,0,7,15.9,+,27,42,32,13.7,12.9,0.8,13.5,1.7,1.2,120,Sb,564,"UGC 57","MCG 4-1-25","CGCG 477-54","IRAS 00047+2725","KCPG 2A","CGCG 478-26",,,,,
N,2,,,*,1,1,PEG,0,7,17.1,+,27,40,43,15,14.2,0.8,13.6,1,0.6,112,Sab,567,"UGC 59","MCG 4-1-26","CGCG 477-55","CGCG 478-27","KCPG 2B",,,,,,
N,3,,,*,1,1,PSC,0,7,16.8,+,8,18,5,14.2,13.3,0.9,12.8,1.1,0.6,111,S0,565,"UGC 58","MCG 1-1-37","CGCG 408-35","ARAK 1","IRAS 00047+0801",,,,,,
N,4,,,*,1,1,PSC,0,7,24.5,+,8,22,26,16.9,15.9,1,13.9,0.6,0.3,35,S0,212468,,,,,,,,,,,
N,5,,,*,1,1,AND,0,7,48.8,+,35,21,46,14.3,13.3,1,13.1,1.2,0.7,115,E4,595,"UGC 62","MCG 6-1-13","CGCG 517-17","CGCG 518-12","4ZW 7","NPM1G +35.0003",,,,,
N,6,,,*,7,1,AND,0,9,32.6,+,33,18,32,14.1,13.1,1,14.3,1.7,1.6,140,E-S0,679,"NGC 20","UGC 84","MCG 5-1-36","CGCG 498-82","CGCG 499-54",,,,,,
N,7,,,*,1,1,SCL,0,8,20.7,-,29,54,59,14.4,13.9,0.5,14,2.2,0.5,29,SBc,627,"ESO 409-22","MCG -5-1-37","AM 0005-301",,,,,,,,
N,8,,,*,9,1,PEG,0,8,45.3,+,23,50,19,,,,,,,,*2,,,,,,,,,,,,
N,9,,,*,1,1,PEG,0,8,54.5,+,23,49,4,14.3,13.5,0.8,12.6,1.1,0.7,155,Sb/P,652,"UGC 78","MCG 4-1-30","CGCG 477-59","IRAS 00063+2332","KUG 0006+235","KARA 6","CGCG 478-31",,,,
N,10,,,*,1,1,SCL,0,8,34.3,-,33,51,28,13.3,12.5,0.8,13.5,2.4,1.2,26,SBbc,634,"ESO 349-32","MCG -6-1-24","AM 0006-340","IRAS 00060-3408",,,,,,,
N,11,,,*,1,1,AND,0,8,42.3,+,37,26,53,14.6,13.7,0.9,12.7,1.5,0.3,111,Sa,642,"UGC 73","MCG 6-1-15","CGCG 517-20","CGCG 518-15","IRAS 00061+3710",,,,,,
